id,nume,prenume,jud_dom,juddom,loc_dom,locdom,ocupatia,profesia,nrcirc,dencirc,tip_camera,tip_formatiune,denumire_formatiune,denumireformatiune,pozitie
412,KORODI,ATTILA,19,HARGHITA,83320,MUNICIPIUL MIERCUREA CIUC,DEPUTAT,INGINER ECONOMIST,21,HARGHITA,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,2
413,ANDRÁS,HUNOR-JENÖ,19,HARGHITA,83320,MUNICIPIUL MIERCUREA CIUC,INGINER DE MEDIU,INGINER DE MEDIU,10,BUZĂU,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,1
414,KOVÁCS SZÉCSI,ATTILA,19,HARGHITA,83320,MUNICIPIUL MIERCUREA CIUC,REFERENT SENATORIAL,STUDENT,10,BUZĂU,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,3
415,ŢEPELUŞ,MARIUS,19,HARGHITA,83320,MUNICIPIUL MIERCUREA CIUC,REGISTRATOR COORDONATOR,JURIST,21,HARGHITA,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,3
416,CRĂCIUN,IONELA-LIVIA,19,HARGHITA,83320,MUNICIPIUL MIERCUREA CIUC,PROFESOR,ECONOMIST,21,HARGHITA,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,4
417,MATEI,MIRCEA,19,HARGHITA,83320,MUNICIPIUL MIERCUREA CIUC,PENSIONAR,JURIST,21,HARGHITA,CD,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,1
418,SZABÓ,SZILVESZTER,19,HARGHITA,83561,MUNICIPIUL GHEORGHENI,CONSILIER JURIDIC,JURIST,41,VRANCEA,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,4
419,DOBREAN,TEODOR-CONSTANTIN,19,HARGHITA,83561,MUNICIPIUL GHEORGHENI,NOTAR PUBLIC,JURIST,21,HARGHITA,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,2
420,BENDE,SÁNDOR,19,HARGHITA,83632,MUNICIPIUL TOPLIŢA,TEHNICIAN,JURIST,21,HARGHITA,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,3
421,DUŞA,MIRCEA,19,HARGHITA,83632,MUNICIPIUL TOPLIŢA,DEPUTAT,ECONOMIST,21,HARGHITA,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,1
422,PETRUŢ,DANUŢ-EMANUEL,19,HARGHITA,83632,MUNICIPIUL TOPLIŢA,MAINTENANCE SUPERVISOR,INGINER,21,HARGHITA,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,2
423,BUZILĂ,VICTOR-SEBASTIAN,19,HARGHITA,83632,MUNICIPIUL TOPLIŢA,DIRECTOR SOCIETATE COMERCIALĂ,ECONOMIST,21,HARGHITA,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,1
424,POP,DANIELA-LENUŢA,19,HARGHITA,83632,MUNICIPIUL TOPLIŢA,OPERATOR CALCULATOR ŞI TEHNICIAN SSM,CONTABIL,21,HARGHITA,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,2
425,RUGINĂ,DAN-CIPRIAN,19,HARGHITA,83632,MUNICIPIUL TOPLIŢA,DIRECTOR ECONOMIC,ECONOMIST,21,HARGHITA,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,3
426,GÉCZI,LEVENTE-SÁNDOR,19,HARGHITA,83133,MUNICIPIUL ODORHEIU SECUIESC,CONSILIER JURIDIC,JURIST,41,VRANCEA,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,2
427,SZAKÁCS,TIBOR,19,HARGHITA,83133,MUNICIPIUL ODORHEIU SECUIESC,REPREZENTANT VÂNZĂRI,INGINER,27,MEHEDINŢI,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,2
428,VERESTÓY,ATTILA,19,HARGHITA,83133,MUNICIPIUL ODORHEIU SECUIESC,SENATOR,INGINER CHIMIST,21,HARGHITA,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,1
429,ANTAL,ISTVÁN-LORÁNT,19,HARGHITA,83133,MUNICIPIUL ODORHEIU SECUIESC,DIRECTOR ECONOMIC,ECONOMIST,21,HARGHITA,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,3
430,SEBESTYÉN,CSABA-ISTVÁN,19,HARGHITA,83133,MUNICIPIUL ODORHEIU SECUIESC,DIRECTOR SOCIETATE,INGINER ZOOTEHNIST,21,HARGHITA,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,5
431,TORNAI,TAMÁS,19,HARGHITA,83133,MUNICIPIUL ODORHEIU SECUIESC,STUDENT,PLANIFICARE TERITORIALĂ,41,VRANCEA,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,7
432,SZÁSZ,SORIN-IOAN,19,HARGHITA,83464,ORAŞ BĂLAN,ADMINISTRATOR,TEHNOLOG,21,HARGHITA,CD,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,2
433,HÎRLAV,COSTIN,19,HARGHITA,83936,BILBOR,PROFESOR,PROFESOR,21,HARGHITA,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,7
434,KELEMEN,HUNOR,19,HARGHITA,84102,CÂRŢA,DEPUTAT,PROFESOR DE FILOSOFIE- MEDIC VETERINAR,21,HARGHITA,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,1
435,SERE,CLAUDIU-ILIE,19,HARGHITA,83981,CIUCSÎNGEORGIU,MANAGER MARKETING,COMUNICARE RELATII PUBLICE,21,HARGHITA,S,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,1
436,BARTALIS,SZILÁRD,19,HARGHITA,84086,CIUMANI,STUDENT,INGINER CONSTRUCTOR,10,BUZĂU,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,6
437,ŢEPEŞ-FOCŞA,ROMEO,19,HARGHITA,84148,CORBU,PRIMAR,PROFESOR,21,HARGHITA,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,1
438,SPACIU,SEBASTIAN,19,HARGHITA,84148,CORBU,VICEPRIMAR,INGINER,21,HARGHITA,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,5
439,RAVASZ,CSABA,19,HARGHITA,84175,CORUND,AMBULANȚIER,AMBULANȚIER,27,MEHEDINŢI,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,5
440,PUSKÁS,ANNA,19,HARGHITA,84344,DITRĂU,DIRECTOR,PROFESOR,21,HARGHITA,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,7
441,FAZAKAS,SZILÁRD,19,HARGHITA,84344,DITRĂU,VICEPRIMAR,SOCIOLOG,12,CĂLĂRAŞI,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,1
442,ŢĂRAN,RADU,19,HARGHITA,84460,GĂLĂUŢAŞ,PRIMAR,JURIST,21,HARGHITA,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,6
443,MAGYARI,ZSOLT,19,HARGHITA,84825,LUPENI,FĂRĂ LOC DE MUNCĂ,ȘTIINȚE ALE NATURII,27,MEHEDINŢI,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,3
444,SALAMON,ZOLTÁN,19,HARGHITA,83375,PĂULENI-CIUC,ADMINISTRATOR,ECONOMIST,21,HARGHITA,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,6
445,PORTIK,ERZSÉBET-EDIT,19,HARGHITA,85412,REMETEA,PROFESOR,PROFESOR,21,HARGHITA,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,4
446,MEZEI,LILIANA,19,HARGHITA,85528,SĂRMAŞ,ADMINISTRATOR,ECONOMIST,21,HARGHITA,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,3
447,TÁNCZOS,BARNA,19,HARGHITA,85680,SÂNCRĂIENI,SENATOR,ECONOMIST,21,HARGHITA,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,2
448,KOZMA,ISTVÁN-FLORIN,19,HARGHITA,85840,SÎNSIMION,PRIMAR,ECONOMIST,10,BUZĂU,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,2
449,COTFAS,DAN,19,HARGHITA,85877,SUBCETATE,PROFESOR INFORMATICĂ,PROFESOR,21,HARGHITA,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,4
450,ZSIDÓ,KÁROLY,19,HARGHITA,85984,ŞIMONEŞTI,GRAPHIC DESIGNER,PROFESOR,27,MEHEDINŢI,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,6
451,LAZĂR,LILIANA,19,HARGHITA,86133,TULGHEŞ,PROFESOR,PROFESOR,21,HARGHITA,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,4
452,HÎRLAV,GABRIELA,19,HARGHITA,86133,TULGHEŞ,PENSIONAR,JURIST,21,HARGHITA,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,3
453,VAIDOŞ,ALEXANDRU,19,HARGHITA,86339,VOŞLĂBENI,ŞEF STAŢIE EPURARE,ECONOMIST,21,HARGHITA,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,2
454,LUKACS,LAJOS,20,HUNEDOARA,86810,MUNICIPIUL HUNEDOARA,MANAGER PROIECT,STIINTE POLITICE,10,BUZĂU,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,4
455,GYÖRFI,NOEMI-TÜNDE,20,HUNEDOARA,86810,MUNICIPIUL HUNEDOARA,SEF ATELIER,TEHNICIAN,10,BUZĂU,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,5
456,SAMOILĂ,IDA-KARIN,20,HUNEDOARA,86810,MUNICIPIUL HUNEDOARA,MEDIC VETERINAR,MEDIC VETERINAR,27,MEHEDINŢI,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,4
457,LUNGAN,LIA,23,ILFOV,179221,ORAŞ BRAGADIRU,CONTABIL,ECONOMIST,25,ILFOV,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,5
458,NASTASIUC,ANDREEA-BRÎNDUȘA,23,ILFOV,179285,ORAŞ CHITILA,CONSILIER JURIDIC,CONSILIER JURIDIC MEDIATOR,25,ILFOV,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,7
459,NICULAE,PETRU-TEODOR,23,ILFOV,179285,ORAŞ CHITILA,ȘEF ADMINISTRATIV,INGINER,25,ILFOV,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,7
460,BOLINTINEANU,GHEORGHE,23,ILFOV,179409,ORAŞ MĂGURELE,DIRECTOR,INGINER,25,ILFOV,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,4
461,NENIȚĂ,ALEXANDRA-LUIZA,23,ILFOV,179515,ORAŞ PANTELIMON,FĂRĂ OCUPAȚIE,DIPLOMAT,25,ILFOV,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,1
462,VOICU,VINCENȚIU,23,ILFOV,179515,ORAŞ PANTELIMON,ADMINISTRATOR PUBLIC,ECONOMIST,25,ILFOV,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,6
463,CULEAFĂ,MIHAI,23,ILFOV,179515,ORAŞ PANTELIMON,JURIST,JURIST,25,ILFOV,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,2
464,CECATE,FLORIN-VIOREL,23,ILFOV,179515,ORAŞ PANTELIMON,MANAGER,MANAGER,25,ILFOV,S,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,4
465,NASTA,NICOLAE,23,ILFOV,179515,ORAŞ PANTELIMON,SENATOR,JURIST,15,COVASNA,S,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,1
466,GHEORGHE,ANDREI-DANIEL,23,ILFOV,179481,ORAŞ OTOPENI,DEPUTAT,ISTORIC,25,ILFOV,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,1
467,IFTODE,ADINA,23,ILFOV,179533,ORAŞ POPEŞTI LEORDENI,DESIGNER VESTIMENTAR,DESIGNER,3,ARGEŞ,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,6
468,COSTEA,ALEXANDRU-VALENTIN,23,ILFOV,179533,ORAŞ POPEŞTI LEORDENI,ADMINISTRATOR,INGINER,3,ARGEŞ,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,2
469,MANEA,LUIZA-EMANUELA,23,ILFOV,179533,ORAŞ POPEŞTI LEORDENI,PROFESOR,ECONOMIST,25,ILFOV,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,4
470,BOTNARIU,EMANUEL-GABRIEL,23,ILFOV,179551,ORAŞ VOLUNTARI,DIRECTOR GENERAL,MEDIC,25,ILFOV,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,1
471,GHEORGHE,GHEORGHE,23,ILFOV,179551,ORAŞ VOLUNTARI,ASOCIAT,CONSTRUCTOR,25,ILFOV,S,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,1
472,SECARĂ,FLORIN-MIHAIL,23,ILFOV,179551,ORAŞ VOLUNTARI,DEPUTAT,INGINER,25,ILFOV,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,3
473,ZAMFIR,DANIEL-TUDOREL,23,ILFOV,179551,ORAŞ VOLUNTARI,ADMINISTRATOR PUBLIC,ECONOMIST,25,ILFOV,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,4
474,CONSTANTIN,NICULAE,23,ILFOV,179551,ORAŞ VOLUNTARI,DIRECTOR GENERAL,OFIȚER MARINĂ - JURIST,25,ILFOV,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,5
475,BOGACIU,ALEXANDRA-CORINA,23,ILFOV,179551,ORAŞ VOLUNTARI,DIRECTOR MARKETING,ECONOMIST,25,ILFOV,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,1
476,PATACHE,DANA,23,ILFOV,179551,ORAŞ VOLUNTARI,REFERENT MARKETING,PROFESOR GEOGRAFIE,25,ILFOV,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,7
477,TOMA,NINEL,23,ILFOV,179551,ORAŞ VOLUNTARI,AVOCAT,JURIST,25,ILFOV,S,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,2
478,ROȘIIANU,CORNELIUS,23,ILFOV,179551,ORAŞ VOLUNTARI,CONSILIER JUDEȚEAN,JURIST-JURNALIST,25,ILFOV,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,2
479,NEAGU,VICTOR,23,ILFOV,179551,ORAŞ VOLUNTARI,CONSILIER JUDEȚEAN,PROFESOR UNIVERSITAR,25,ILFOV,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,3
480,MUȘAT,FLORIN,23,ILFOV,102543,1-Dec,LIBER PROFESIONIST,ANTREPRENOR,25,ILFOV,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,4
481,OANȚĂ,EMILIAN-MARIUS,23,ILFOV,102543,1-Dec,DIRECTOR,FĂRĂ PROFESIE,25,ILFOV,S,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,4
482,PAPUC,DRAGOȘ,23,ILFOV,101145,BERCENI,DIRECTOR SOCIETATE COMERCIALĂ,FUNCȚIONAR PUBLIC,16,DÂMBOVIŢA,CD,P,111,UNIUNEA SALVAȚI ROMÂNIA (USR),3
483,ENE,GEORGE,23,ILFOV,101145,BERCENI,DIRECTOR ADJUNCT,ECONOMIST,25,ILFOV,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,2
484,BUCUR,LUCIAN-FLORIN,23,ILFOV,101145,BERCENI,ACCOUNT MANAGER,ECONOMIST,16,DÂMBOVIŢA,CD,P,111,UNIUNEA SALVAȚI ROMÂNIA (USR),4
485,DIBLĂ,VALENTIN,23,ILFOV,179249,CHIAJNA,JURIST,JURIST,25,ILFOV,S,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,1
486,STOICA,ADRIANA,23,ILFOV,102035,CLINCENI,PROFESOR,PROFESOR,25,ILFOV,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,3
487,PINTILEASA,BOGDAN-GABRIEL,23,ILFOV,102570,DOMNEŞTI,ADMINISTRATOR FIRMA,ELECTRICIAN AUTO,25,ILFOV,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,5
488,DRĂGAN,MIOARA,23,ILFOV,179383,JILAVA,AVOCAT,AVOCAT,25,ILFOV,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,6
489,PREDEȘEL,DANIEL,23,ILFOV,179463,MOGOŞOAIA,ADMINISTRATOR,INGINER,25,ILFOV,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,3
490,BARBU,JENI,23,ILFOV,104582,PETRĂCHIOAIA,DIRECTOR,PSIHOLOG,25,ILFOV,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,4
491,ALBANI,LAURA-MARIA,23,ILFOV,105160,SNAGOV,DIRECTOR,SCENOGRAF,25,ILFOV,S,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,3
492,NIȚĂ,MIHAI-SANDU,23,ILFOV,105936,VIDRA,MANAGER COMPANIE,JURIST,25,ILFOV,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,3
493,STRÎMB,IOAN-VASILE,24,MARAMUREŞ,106318,MUNICIPIUL BAIA MARE,DIRECTOR,SUBINGINER ELECTRO MECANIC,41,VRANCEA,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,2
494,CHERECHEȘ,VIORICA,24,MARAMUREŞ,106318,MUNICIPIUL BAIA MARE,MANAGER,MEDIC,26,MARAMUREŞ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,1
495,SFATOLEA,MARIUS-OVIDIU,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,OPERATOR TERMOENERGETIC,OPERATOR TERMOENERGETIC,27,MEHEDINŢI,S,P,37,PARTIDUL ECOLOGIST ROMÂN (PER ) ,2
496,POPA,ALEXANDRU-NICOLAE,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,ADMINISTRATOR,ECONOMIST,27,MEHEDINŢI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,5
497,ROȘCA,EMANOIL-RĂZVAN,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,INGINER,INGINER,27,MEHEDINŢI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,2
498,UDRIȘTE,IULIU-ALIN,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,DIRECTOR GENERAL,ECONOMIST,27,MEHEDINŢI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,4
499,GHEORGHE,OVIDIU-MIRCEA,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,MEDIC,MEDIC,27,MEHEDINŢI,CD,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,3
500,BĂLĂNESCU,ALEXANDRU,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,AVOCAT,AVOCAT,27,MEHEDINŢI,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,3
501,TOMOESCU,ION-ALIN,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,PROFESOR,PROFESOR,27,MEHEDINŢI,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,3
502,SĂCEANU,CONSTANTIN,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,DIRECTOR,INGINER,27,MEHEDINŢI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,2
503,MITUCĂ,EUSEBIO-MUGUREL,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,ECONOMIST,ECONOMIST,27,MEHEDINŢI,S,P,111,UNIUNEA SALVAȚI ROMÂNIA (USR),3
504,MARIN,DOREL,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,INGINER,INGINER,27,MEHEDINŢI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,2
505,MAZILU,LIVIU-LUCIAN,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,VICEPREȘEDINTE CONSILIUL JUDEȚEAN MEHEDINȚI,INGINER,27,MEHEDINŢI,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,1
506,BABONIU,NASTASIA-SANDA,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,PROFESOR,PROFESOR,27,MEHEDINŢI,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,2
507,DRĂCEA,FLORIN-IONUȚ,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,MANAGER PROIECT,INGINER,27,MEHEDINŢI,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,4
508,SIMCEA,BOGDAN-EDUARD,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,ECONOMIST,ECONOMIST,27,MEHEDINŢI,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,5
509,COJOCARU,NICU-ALEXANDRU,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,DIRECTOR EXECUTIV,ECONOMIST,27,MEHEDINŢI,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,6
510,VLĂDUȚ,DANIEL,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,TEAM LEADER-JIT,ECONOMIST,27,MEHEDINŢI,S,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,2
511,DĂDĂLĂU,MIHAI-DRAGOȘ,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,AVOCAT,AVOCAT,27,MEHEDINŢI,S,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,3
512,PUȘCAȘIU,LUMINIȚA,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,OPERATOR PUNCTE BENEFICII,ECONOMIST,27,MEHEDINŢI,S,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,4
513,BĂLU,MARIUS,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,SENATOR,INGINER,27,MEHEDINŢI,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,1
514,MĂRCULESCU,DUMITRU,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,CONSILIER JURIDIC,JURIST,27,MEHEDINŢI,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,4
515,PÎRVU,CRISTIANA,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,PROFESOR,PROFESOR,27,MEHEDINŢI,CD,P,3,PARTIDUL MIȘCAREA POPULARĂ (PMP) ,3
516,SIBINESCU,IONUȚ,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,ECONOMIST,ECONOMIST,27,MEHEDINŢI,S,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,1
517,POPESCU,VIRGIL-DANIEL,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,CONFERENȚIAR UNIVERSITAR,INGINER,27,MEHEDINŢI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,1
518,TUȚU,ECATERINA,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,INVĂȚĂTOR ITINERANT,INVĂȚĂTOR EDUCATOR,27,MEHEDINŢI,S,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,3
519,LEHĂDUȘ,VANDA-LEOCADIA,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,ȘOMER,LABORANT CHIMIST,27,MEHEDINŢI,S,P,37,PARTIDUL ECOLOGIST ROMÂN (PER ) ,1
520,IORGOVAN,MAGDALENA-MARIA,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,ASISTENT MEDICAL,ASISTENT MEDICAL,27,MEHEDINŢI,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,5
521,PALAȘCĂ,VIOREL,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,DEPUTAT,INGINER,27,MEHEDINŢI,CD,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,1
522,IANCULESCU,ANTONIO-MIRCEA,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,MANAGER PROIECT,INGINER,27,MEHEDINŢI,S,P,111,UNIUNEA SALVAȚI ROMÂNIA (USR),1
523,NANCIU,ANTOANETA-RENATTA,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,VICEPREȘEDINTE CONSILIUL JUDEȚEAN MEHEDINȚI,AVOCAT,27,MEHEDINŢI,CD,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,5
524,BOBĂICEANU,MARIUS,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,ȘEF LABORATOR CTC,INGINER,27,MEHEDINŢI,CD,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,3
525,TEIȘ,ALINA,25,MEHEDINŢI,109773,MUNICIPIUL DROBETA-TURNU SEVERIN,PROFESOR,PROFESOR,27,MEHEDINŢI,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,4
