id,nume,prenume,jud_dom,juddom,loc_dom,locdom,ocupatia,profesia,nrcirc,dencirc,tip_camera,tip_formatiune,denumire_formatiune,denumireformatiune,pozitie
37,FARAGO,PETRU,2,ARAD,12912,DOROBANŢI,DIRECTOR TEHNIC,INGINER,2,ARAD,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,1
38,SULINCEAN,MARIUS-MIRCEA,2,ARAD,9280,FÂNTÂNELE,DIRECTOR,INGINER ALIMENTATIE,2,ARAD,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,6
39,VIDESCU,CRISTIAN-IOAN,2,ARAD,10872,GHIOROC,ADMINISTRATOR,LICENTIAT IN STIINTE ADMINISTRATIVE,2,ARAD,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,4
40,VASII,NICOLAE,2,ARAD,11058,HĂLMAGIU,ADMINISTRATOR FIRMĂ,JURIST,2,ARAD,CD,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,3
41,PAPP,ATILA-IOSIF,2,ARAD,11352,IRATOŞU,PRIMAR,ELECTRONIST,2,ARAD,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,5
42,HAÁSZ,TIBERIU,2,ARAD,11423,MIŞCA,PRIMAR,HORTICULTOR,2,ARAD,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,4
43,HERBEI,IOAN-NUŢU,2,ARAD,11478,MONEASA,PRIMAR,ECONOMIST,2,ARAD,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,5
44,KOVACS,EMERIC,2,ARAD,11637,PEREGU MARE,PRIMAR,MECANIC AGRICOL,2,ARAD,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,5
45,VODICEAN,IOAN,2,ARAD,11842,SĂVÎRŞIN,PRIMAR,JURIST,2,ARAD,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,3
46,MAGDA,MARIUS-MIHAI,2,ARAD,11995,SELEUŞ,ADMINISTRATOR,MECANIC ÎMBUNĂTĂŢIRI FUNCIARE,2,ARAD,CD,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,7
47,ERDŐS,VALENTIN,2,ARAD,12055,SINTEA MARE,PRIMAR,MECANIC AUTO,2,ARAD,S,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,4
48,ŞIMON,IOAN-DAN,2,ARAD,12340,ŞIMAND,FERMIER,METEOROLOG,2,ARAD,CD,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,4
49,PERO,TAMAS-CAROL,2,ARAD,9360,ŞOFRONEA,SEF BIROU,INGINER ECOLOG,2,ARAD,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,9
50,SIPOS,GYÖRGY,2,ARAD,12643,VINGA,INGINER AGRONOM,INGINER AGRONOM,2,ARAD,CD,M,58,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA (UDMR) ,3
51,DIHEL,MARIANA DANIELA,2,ARAD,12812,ZĂRAND,PROFESOR ÎNVĂŢĂMÂNT PRIMAR,JURIST,2,ARAD,CD,P,67,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR (ALDE) ,2
52,CONSTANTINESCU,ION,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,DIRECTOR GENERAL,INGINER,3,ARGEŞ,S,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,2
53,GHERMAN,ARMIN-MARIAN,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,FĂRĂ OCUPAȚIE,JURIST,3,ARGEŞ,S,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,4
54,PERIANU,RADU-VALERIU,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,AVOCATURA,AVOCAT,3,ARGEŞ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,8
55,MOȘTEANU,FLORENTIN-ANDREI,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,ȘEF BIROU,JURIST,3,ARGEŞ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,11
56,SOFIANU,NARCIS-IONUȚ,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,AVOCATURĂ,AVOCAT,3,ARGEŞ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,12
57,TICĂ,MANUEL,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,INSPECTOR DAUNE,INGINER,3,ARGEŞ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,7
58,DUMITRAȘCU,MARIA-CĂTĂLINA,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,PROFESOR LIMBA FRANCEZĂ,PROFESOR,3,ARGEŞ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,10
59,BICA,DĂNUȚ,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,ȘEF SERVICIU,INGINER,3,ARGEŞ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,1
60,GARDIN,FLORIN,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,PROFESOR PSIHOPEDAGOG,PROFESOR PSIHOPEDAGOG,3,ARGEŞ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,4
61,BĂNICĂ,GHEORGHE,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,PROFESOR UNIVERSITAR DOCTOR,PROFESOR DOCTOR  IN FILOLOGIE,3,ARGEŞ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,9
62,POSTELNICESCU,MARIUS-DOREL,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,DIRECTOR TEHNIC,INGINER,3,ARGEŞ,CD,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,5
63,POPA,ION,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,SENATOR,INGINER,3,ARGEŞ,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,1
64,CUSMIR,VASILICA,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,DESIGNER VESTIMENTAR,CROITOR,3,ARGEŞ,S,P,38,PARTIDUL ROMÂNIA UNITĂ (PRU) ,5
65,TOFAN,GELU,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,MANAGER DIRECTOR COMERCIAL,INGINER ECONOMIST,3,ARGEŞ,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,6
66,VALECA,ȘERBAN-CONSTANTIN,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,PROFESOR UNIVERSITAR DOCTOR INGINER SENATOR,INGINER,3,ARGEŞ,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,1
67,SĂBĂILĂ,IOAN-PETRE-MIHAI,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,Președinte Asociația Cultura Românească,Administrator,43,Diaspora,S,P,1,PARTIDUL NAȚIONAL LIBERAL (PNL) ,2
68,PÎRVU,MARIUS,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,DIRECTOR,INGINER,3,ARGEŞ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,8
69,STOCHECI,CRISTINA-MARIANA,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,MEDIC,MEDIC,3,ARGEŞ,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,3
70,CLIPICI,MARIAN,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,ECONOMIST,ECONOMIST,3,ARGEŞ,S,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,5
71,RĂDULESCU,CĂTĂLIN-MARIAN,3,ARGEŞ,13169,MUNICIPIUL PITEŞTI,DEPUTAT,MEDIC,3,ARGEŞ,CD,P,39,PARTIDUL SOCIAL DEMOCRAT (PSD) ,5
