"GEORGESCU MIHAI";"PARTIDUL ROMÂNIA MARE";"S3 Arges";2846
"PANAETE GHERGHINA";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S3 Arges";765
"TUNYOGI ELISABETA- ECATERINA";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S3 Arges";99
"STIRE ANU OCTAVIAN";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S4 Arges";26004
"CINTEZA MIRCEA";"PARTIDUL DEMOCRAT LIBERAL";"S4 Arges";17401
"CÂLINESCU FLORIN";"PARTIDUL NATIONAL LIBERAL";"S4 Arges";13752
"CHIRITA ILIE";"PARTIDUL ROMÂNIA MARE";"S4 Arges";2834
"SULTAN EUGEN";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S4 Arges";1636
"VARASCANU CONSTANTIN";"PARTIDUL VERDE ECOLOGIST";"S4 Arges";689
"STANESCU TUDORACHE";"PARTIDUL POPULAR SI AL PROTECTIEI SOCIALE";"S4 Arges";250
"VEKONY EVA MARJA";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S4 Arges";113
"BERCA GABRIEL";"PARTIDUL NATIONAL LIBERAL";"S1 Bacau";22936
"NEDEFF VALENTIN";"PARTIDUL DEMOCRAT LIBERAL";"S1 Bacau";19393
"STOICA DAN";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S1 Bacau";16057
"LUNGU CLAUDIU";"PARTIDUL ROMÂNIA MARE";"S1 Bacau";2899
"HÂRÂTAU ELENA";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S1 Bacau";1479
"BURGHELEA DUMITRU";"PARTIDUL POPULAR SI AL PROTECTIEI SOCIALE";"S1 Bacau";877
"CUTAŞ GEORGE-SABIN";"ALIANŢA POLITICĂ PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S2 Bacau";17643
"NISTOR VASILE";"PARTIDUL DEMOCRAT LIBERAL";"S2 Bacau";13697
"LUPU GABRIEL-STĂNICĂ";"PARTIDUL NAŢIONAL LIBERAL";"S2 Bacau";9649
"GRIGORAŞ VALERRJ";"PARTIDUL ROMÂNIA MARE";"S2 Bacau";1649
"ILIE VASILE";"PARTIDUL POPULAR ŞI AL PROTECŢIEI SOCIALE";"S2 Bacau";1592
"BRATOVIANU CRISTINEL";"PARTIDUL NOUA GENERAŢIE -CREŞTIN DEMOCRAT";"S2 Bacau";808
"FAZAKAS ÂRPÂD";"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA";"S2 Bacau";139
"M ARD A RE RADU-CATALIN";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S3 Bacau";23317
"BALCANU TOADER";"PARTIDUL DEMOCRAT LIBERAL";"S3 Bacau";12741
"CIUBOTARIU LUCIAN-MANUEL";"PARTIDUL NATIONAL LIBERAL";"S3 Bacau";6983
"COSTEA GHEORGHE";"PARTIDUL ROMÂNIA MARE";"S3 Bacau";1309
"DUMITRASCU COCA";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S3 Bacau";583
"OLTEANU-URSACHI IULIAN";"PARTIDUL VERDE ECOLOGIST";"S3 Bacau";356
"HU1AN COSTICA";"PARTIDUL POPULAR SI AL PROTECTIEI SOCIALE";"S3 Bacau";274
"BENCHEA PAVEL";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S3 Bacau";235
