"ATANASIU TEODOR","PARTIDUL NATIONAL LIBERAL","3 Alba",9883
"VARMAGA VOICHITA","PARTIDUL ROMÂNIA MARE","3 Alba",869
"JURCAN OV1DIU","PARTIDUL NOUA GENERATIE - CRESTIN DEMOCRAT","3 Alba",432
"DU MITRE SCU LIANA","ASOCIATIA MACEDONENILOR DIN ROMÂNIA","3 Alba",25
"MANOLESCU OANA","ASOCIATIA LIGA ALBANEZILOR DIN ROMÂNIA","3 Alba",7
"VAINER AUREL","FEDERATIA COMUNITATILOR EVREIESTI DIN ROMÂNIA","3 Alba",20
"RADAN MIHAI","UNIUNEA CROATILOR DIN ROMÂNIA","3 Alba",10
"GANTOVIDIU-VICTOR","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA","3 Alba",33
"ZISOPOL DRAGOS-GABR1EL","UNIUNEA ELENA DIN ROMÂNIA","3 Alba",1
"IGNAT MIRON","COMUNITATEA RUSILOR LIPOVENI DIN ROMÂNIA","3 Alba",13
"PAMBUCC1AN VARUJAN","UNIUNEA ARMENILOR DIN ROMÂNIA","3 Alba",19
"AMET ALED1N","UNIUNEA DEMOCRATA A TATARILOR TURCO-MUSULMANI DIN ROMÂNIA","3 Alba",9
"MERKA ADRIAN-M1R0SLAV","UNIUNEA DEMOCRATICA A SLOVACILOR SI CEHILOR DIN ROMÂNIA","3 Alba",23
"POPOV DUSAN","UNIUNEA SÂRBILOR DIN ROMÂNIA","3 Alba",6
"IBRAM IUSEIN","UNIUNEA DEMOCRATA TURCA DIN ROMÂNIA","3 Alba",9
"LONGHER GHERVAZEN","UNIUNEA POLONEZILOR DIN ROMÂNIA","3 Alba",34
"BUCIUTA STEFAN","UNIUNEA UCRAINENILOR DIN ROMÂNIA","3 Alba",15
"MIRCOVICI NICULAE","UNIUNEA BULGARA DIN BANAT-ROMÂNIA","3 Alba",49
"FIRCZAK GHEORGHE","UNIUNEA CULTURALA A RUTENILOR DIN ROMÂNIA","3 Alba",18
"PAUN N1COLAE","PARTIDA ROMILOR PRO-EUROPA","3 Alba",114
"GROSARU M1RCEA","ASOCIATIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.","3 Alba",20
"OLALAU ALEXANDRU","CANDIDAT INDEPENDENT","3 Alba",306
"BADEA IULIA-ADRIANA-OANA","PARTIDUL DEMOCRAT LIBERAL","4 Alba",9923
"COCL1CI RADU-EUGENIU","ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR","4 Alba",3933
"SIPOS MIHAI","UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA","4 Alba",3014
"POPA NICOLAE","PARTIDUL NATIONAL LIBERAL","4 Alba",5429
"BUZEA CR1STIAN-VALERIU","PARTIDUL ROMÂNIA MARE","4 Alba",593
"CONSTANTINESCU PETRU","PARTIDUL NOUA GENERATIE - CRESTIN DEMOCRAT","4 Alba",445
"CHIRILA OCTAV1AN-MAR1US","PARTIDUL POPULAR Sl AL PROTECTIEI SOCIALE","4 Alba",117
"DUMITRESCU MANA","ASOCIATIA MACEDONENILOR DIN ROMÂNIA","4 Alba",12
"MANOLESCU OANA","AASOCIATIA LIGA ALBANEZILOR DIN ROMÂNIA","4 Alba",14
"VAINER AUREL","FEDERATIA COMUNITATILOR EVREIESTI DIN ROMÂNIA","4 Alba",22
"RADAN MIHAI","UNIUNEA CROATILOR DIN ROMÂNIA","4 Alba",10
"GANT OVIDIU-VICTOR","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA","4 Alba",25
"Z1SOPOL DRAGOS-GABRIEL","UNIUNEA ELENA DIN ROMÂNIA","4 Alba",12
"IGNAT MIRON","COMUNITATEA RUSILOR LIPOVENI DIN ROMÂNIA","4 Alba",17
"PAMBUCCIAN VARUJAN","UNIUNEA ARMENILOR DIN ROMÂNIA","4 Alba",26
"AMET ALED1N","UNIUNEA DEMOCRATA A TATARILOR TURCO-MUSULMANI DIN ROMÂNIA","4 Alba",13
"MERKA ADRIAN-MIROSLAV","UNIUNEA DEMOCRATICA A SLOVACILOR SI CEHILOR DIN ROMÂNIA","4 Alba",10
"POPOV DUSAN","UNIUNEA SÂRBILOR DIN ROMÂNIA","4 Alba",11
"IBRAM IUSEIN","UNIUNEA DEMOCRATA TURCA DIN ROMÂNIA","4 Alba",50
"LONGHER GHERVAZEN","UNIUNEA POLONEZILOR DIN ROMÂNIA","4 Alba",10
"BUCIUTA STEFAN","UNIUNEA UCRAINENILOR DIN ROMÂNIA","4 Alba",31
"MIRCOVICI NICULAE","UNIUNEA BULGARA DIN BANAT-ROMÂNIA","4 Alba",35
"FIRCZAK GHEORGHE","UNIUNEA CULTURALA A RUTENILOR DIN ROMÂNIA","4 Alba",8
"PAUN N1COLAE","PARTIDA ROMILOR PRO-EUROPA","4 Alba",212
"GROSARU MIRCEA","ASOCIATIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.","4 Alba",36
"KEREKES FRANCISC-IOSIF","CANDIDAT INDEPENDENT","4 Alba",316
"OLAR CORNELIU","PARTIDUL DEMOCRAT LIBERAL","5 Alba",12001
"PASCA GHEORGHE-DUMITRU","ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR","5 Alba",5113
"KOPLNETZ LORAND-MÂ RTON","UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA","5 Alba",652
"FURDUI-IANCU NICOLAE","PARTIDUL NATIONAL LIBERAL","5 Alba",4511
"CRISAN EMIL","PARTIDUL ROMÂNIA MARE","5 Alba",653
"PLESA DAN-CALIN","PARTIDUL NOUA GENERATIE - CRESTIN DEMOCRAT","5 Alba",303
"DUMITRESCU LIANA","ASOCIATIA MACEDONENILOR DIN ROMÂNIA","5 Alba",78
"MANOLESCU OANA","ASOCIATIA LIGA ALBANEZILOR DIN ROMÂNIA","5 Alba",28
"VAINER AUREL","FEDERATIA COMUNITATILOR EVREIESTI DIN ROMÂNIA","5 Alba",49
"RADAN MIIIAI","UNIUNEA CROATILOR DIN ROMÂNIA","5 Alba",31
"GANT OVIDIU-VICTOR","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA","5 Alba",23
"ZISOPOL DRAGOS-GABR1EL","UNIUNEA ELENA DIN ROMÂNIA","5 Alba",8
"IGNAT MIRON","COMUNITATEA RUSILOR LIPOVENI DIN ROMÂNIA","5 Alba",24
"PAMBUCCIAN VARUJAN","UNIUNEA ARMENILOR DIN ROMÂNIA","5 Alba",88
"AMET ALEDIN","UNIUNEA DEMOCRATA A TATARILOR TURCO-MUSULMANI DIN ROMÂNIA","5 Alba",30
"MERKA ADRJAN-MIROSLAV","UNIUNEA DEMOCRATICA A SLOVACILOR SI CEHILOR DIN ROMÂNIA","5 Alba",59
"POPOV DUSAN","UNIUNEA SÂRBILOR DIN ROMÂNIA","5 Alba",13
"IBRAM 1USEIN","UNIUNEA DEMOCRATA TURCA DIN ROMÂNIA","5 Alba",28
"LONGHER GHERVAZEN","UNIUNEA POLONEZILOR DIN ROMÂNIA","5 Alba",16
"BUCIUTA STEFAN","UNIUNEA UCRAINENILOR DIN ROMÂNIA","5 Alba",14
"MIRCOV1C1 NICULAE","UNIUNEA BULGARA DIN BANAT-ROMÂNIA","5 Alba",36
"FIRCZAK GHEORGHE","UNIUNEA CULTURALA A RUTENILOR DIN ROMÂNIA","5 Alba",11
"PAUN N1COLAE","PARTIDA ROMILOR PRO-EUROPA","5 Alba",105
"GROSARU MIRCEA","ASOCIATIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.","5 Alba",15
"UNGUREANU VASILE-IOAN- DANUT","ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR","1 Arad",3885
"PENZES IULIU-GHEORGHE","UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA","1 Arad",1358
"RIVIS-TIPEI LUCIAN","PARTIDUL DEMOCRAT LIBERAL","1 Arad",8661
"DEKANY ALEXANDRU- TIBERIU","PARTIDUL NATIONAL LIBERAL","1 Arad",1949
"NEGRILA IULIAN","PARTIDUL ROMÂNIA MARE","1 Arad",533
"BOZGA DORU","PARTIDUL NOUA GENERATIE - CRESTIN DEMOCRAT","1 Arad",295
"RAD AN MIRAI","UNIUNEA CROATILOR DIN ROMÂNIA","1 Arad",18
"MIRCOVICI NICULAE","UNIUNEA BULGARA DIN BANAT-ROMÂNIA","1 Arad",23
"PAMBUCCIAN VARUJAN","UNIUNEA ARMENILOR DIN ROMÂNIA","1 Arad",18
"ZISOPOL DRAGOS-GABRIEL","UNIUNEA ELENA DIN ROMÂNIA","1 Arad",13
"LONGHER GHERVAZEN","UNIUNEA POLONEZILOR DIN ROMÂNIA","1 Arad",3
"PAUN NICOLAE","PARTIDA ROMILOR PRO-EUROPA","1 Arad",24
"VAINER AUREL","FEDERATIA COMUNITATILOR EVREIESTI DIN ROMÂNIA","1 Arad",38
"GROSARU MIRCEA","ASOCIATIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.","1 Arad",13
"POPOV DUSAN","UNIUNEA SÂRBILOR DIN ROMÂNIA","1 Arad",48
"MANOLESCU OANA","ASOCIATIA LIGA ALBANEZILOR DIN ROMÂNIA","1 Arad",17
"MERKA ADRIAN-MIROSLAV","UNIUNEA DEMOCRATICA A SLOVACILOR SI CEHILOR DIN ROMÂNIA","1 Arad",21
"GANT OVIDIU-VICTOR","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA","1 Arad",124
"BUCIUTA STEFAN","UNIUNEA UCRAINENILOR DIN ROMÂNIA","1 Arad",6
"DUMITRESCU LIANA","ASOCIATIA MACEDONENILOR DIN ROMÂNIA","1 Arad",7
